VM_User_cpu_0	VM_User_cpu_1	VM_User_cpu_2	VM_User_cpu_3	VM_User_cpu_4	VM_User_cpu_5
200160	200160	200048	209804	200056	226220
200056	200056	200060	200072	200052	200160
200052	200052	200052	200056	200052	200052
200056	200052	200052	200052	200052	200052
200056	200052	200052	200056	200052	200052
200056	200056	200052	200056	200056	200052
200052	200056	200056	200056	200052	200056
200056	200052	224348	200052	200056	200052
200056	200056	200120	200056	200052	200052
200056	200056	200056	200056	200052	200052
226052	200056	200056	200056	226432	200052
200160	225100	200052	227428	200132	200052
200052	207908	200056	200084	200052	226360
200056	200144	200048	200056	200056	200160
200048	200052	200060	200052	200052	200052
200052	200056	200052	200056	200052	200052
200056	200052	200052	200056	200052	200052
200056	200056	200052	200056	200052	200052
200056	200056	200052	200052	200056	200056
200052	200056	224616	200056	200052	200052
200056	200052	200132	200056	200056	200052
200056	200056	200056	200056	200060	200052
232132	200056	200056	226524	226524	200052
200160	269656	200052	200072	200124	200052
200056	200208	200056	200056	200052	226248
200052	200056	200048	200056	200056	200140
200056	200052	200060	200056	200052	200052
200056	200052	200052	200052	200052	200052
200056	200056	200052	200056	200052	200052
200052	200056	200052	200056	200052	200052
200056	200052	224680	200056	200056	200056
200056	200056	200128	200052	200056	200052
200056	200056	200056	200056	200056	200052
200052	200056	200056	200056	226976	200052
226652	200052	200052	226816	200128	200056
200160	233388	200064	200084	200052	200052
200056	200120	200056	200056	200052	226440
200056	200052	200048	200056	200052	200160
200052	200052	200060	200052	200052	200056
200056	200056	200052	200056	200056	200052
200056	200052	200052	200056	200052	200056
200056	200056	200052	200056	200052	200056
200052	200056	224312	200052	200052	200056
200056	200056	200116	200056	200060	200056
200056	200052	200056	200056	200048	200052
200056	200056	200052	200056	226788	200052
225860	226424	200056	226292	200128	200052
200160	200120	200056	200076	200052	226204
200056	200056	200056	200056	200052	200148
200052	200052	200056	200056	200056	200052
200056	200056	200052	200052	200048	200056
200056	200056	200068	200056	200056	200052
200056	200056	200056	200056	200052	200052
200052	200052	200052	200056	200052	200056
200056	200056	223408	200052	200052	200052
200056	200056	200128	200056	200056	200052
200056	200056	200056	200056	200056	200052
200052	200052	200052	200056	226556	200052
286344	226312	207840	226836	200124	200056
200836	200128	200104	200076	200056	226304
200048	200052	200052	200056	200052	200156
200052	200056	200056	200056	200056	200056
200056	200048	200056	200056	200052	200056
200052	200052	200056	200056	200052	200056
200056	200052	200052	200052	200052	200052
200052	200048	200052	200056	200052	200056
200056	200052	225240	200056	200056	200056
200056	200048	200124	200056	200052	200056
200056	200052	200056	200052	200052	200052
235316	200052	200052	200056	226460	200052
200140	226300	200056	226308	200116	200056
200052	200128	200052	200072	200052	224868
200052	200056	200056	200056	200052	200160
200056	200052	200056	200052	200052	200052
200056	200048	200056	200056	200056	200052
200056	200052	200052	200056	200060	200052
200052	200048	200056	200056	200052	211208
200056	200052	200052	200052	200056	200200
200056	200048	224840	200056	200052	200056
200056	200048	200124	200056	200052	200056
200052	200052	200060	200056	200056	200052
227356	200048	200052	200052	226484	200056
200140	226472	200056	226908	200128	200056
200052	200128	200060	200056	200048	227400
200052	200052	200056	200056	200056	200160
200056	200056	200056	200056	200052	200056
200052	200048	200060	200056	200052	200056
200056	200048	200056	200052	200052	200052
200056	200052	200060	200056	200056	200052
200056	200048	200052	200056	200052	200052
200052	200052	224348	200056	200052	200056
200056	200048	200120	200052	200052	200052
200056	200048	200052	200056	200052	200052
226456	200052	200052	226708	225252	200056
200136	226328	200056	200076	200124	200056
200056	200128	200056	200052	200060	226524
200052	200056	200064	200056	200056	200148
200056	200052	200056	200060	207824	200056
200052	200052	200056	200056	200104	200052
200056	200048	200068	200060	200060	200052
200052	200052	200056	200060	200056	200052
200056	200048	224172	200056	200060	200052
200056	200052	200116	200056	200056	200052
200056	200048	200052	200060	200056	200056
200052	200048	200052	200056	226896	200056
226744	226284	200056	226384	200124	200048
200136	200124	200056	200080	200060	200056
200056	200056	200056	200056	200056	226828
200052	200056	200056	200060	200056	200156
200056	200052	200064	200056	200052	200056
200052	200052	200056	200060	200056	200052
200056	200052	200056	200060	200056	200052
200056	200048	200060	200056	200056	200052
200056	200052	224240	200056	200052	200056
200052	200048	200120	200060	200056	200052
200056	200052	200052	200056	200060	200052
200056	200052	200052	200056	226596	200056
226400	226156	200060	225100	200132	200048
200140	200132	200056	207740	200056	226224
200052	200052	200060	200064	200052	200148
200052	200056	200056	200060	200056	200056
200056	200056	200056	200056	200056	200052
200052	200048	200064	200060	200056	200052
200056	200052	200052	200056	200052	200052
200056	200048	200056	200056	200056	200056
200056	200052	224204	200064	200056	200052
200052	200052	200116	200056	200056	200052
200056	200048	200052	200056	200056	200052
226724	200052	200052	200056	226428	200052
200140	225348	200060	227052	200128	200052
200052	209716	200056	200080	200052	226308
200052	200104	200052	200056	200056	200164
200056	200052	200056	200056	200056	200056
200056	200056	200056	200056	200056	200056
200052	200056	200056	200060	200052	200056
200056	200052	200052	200056	200056	200052
200056	200056	200056	200060	200056	200056
200056	200056	224224	200060	200052	200056
200052	200056	200116	200056	200056	200056
200060	200052	200052	200056	200056	200052
235572	200056	200052	200056	226360	200052
200140	227152	200060	226512	200132	200052
200052	200128	200056	200080	200052	226088
200056	200056	200052	200056	200052	200156
200056	200052	200056	200056	200052	200056
200056	200052	200056	200056	200052	200056
200052	200052	200056	200056	200056	200052
200056	200056	200052	200060	200056	200056
200056	200056	200056	200056	200052	200056
200056	200052	224272	200060	200052	200056
200052	200056	200116	200060	200056	200052
200056	200056	200056	200056	200056	200056
227252	200056	200052	226396	226320	200052
200140	226636	200056	200068	200128	200052
200052	200128	200052	200056	200052	226632
200056	200052	200056	200060	200060	200160
200056	200056	200056	200056	200052	200056
200056	200056	200056	200056	200056	200056
200052	200052	200052	200060	200052	200056
200056	200056	200052	200072	200052	200056
200056	200052	200056	200056	200056	200052
200056	200056	224308	200056	200048	200056
200052	200052	200116	200060	200060	200056
200056	200056	200052	200060	200064	200056
226588	200056	200052	226740	226412	200052
200136	226404	200052	200076	200132	200052
200052	200128	200052	200056	200056	226100
200056	200056	200052	200060	200048	200156
200056	200052	200052	200056	200060	200056
200056	200056	200056	200056	200052	200056
200052	200052	200052	200060	200052	200056
200056	200056	200052	200056	200052	200052
200056	200056	200056	200060	200052	200056
200056	200056	223596	200060	200060	200056
200052	200052	200128	200056	200056	200056
200056	200056	200052	200052	226492	200052
226640	226456	200052	226728	200128	200052
200136	200128	207704	200072	200052	200052
200056	200052	200100	200060	200052	226220
200052	200052	200056	200056	200060	200164
200056	200056	200052	200056	200052	200056
200052	200056	200052	200064	200052	200056
200056	200056	200052	200056	200056	200056
200056	200052	200056	200056	200048	200056
200056	200056	225156	200060	200060	200052
200052	200056	200128	200056	200056	200056
200056	200056	200052	200056	200056	200056
200056	200052	200052	200060	226368	200052
226348	226344	200052	226440	200132	200052
200136	200128	200056	200080	200060	224836
200048	200056	200052	200064	200052	200164
200052	200056	200052	200056	200052	200056
200056	200052	200052	200056	200052	200056
200056	200056	200052	200060	200052	200056
200052	200056	200056	200056	200056	200056
200056	200056	200052	200056	200052	1403032
200056	200052	224720	200064	200052	200352
200056	200056	200128	200056	200056	200052
200052	200056	200056	200056	200060	200052
226348	200056	200052	200056	226296	200056
200136	226332	200052	226352	200128	200052
200056	200128	200052	200080	200056	200052
200048	200056	200052	200064	200052	200052
200052	200056	200052	200056	200052	200056
200056	200052	200056	200056	200056	200056
200056	200056	200052	200060	200052	200056
200052	200056	200052	200056	200056	200048
200056	200056	200056	200056	200052	227088
200056	200052	224348	200060	200052	200148
200056	200056	200124	200056	200052	200052
200052	200052	200052	200056	200052	200052
226380	200048	200052	200056	225336	200052
200140	226404	200052	226352	200124	200052
200056	200128	200056	200080	200056	200052
200052	200056	200056	200060	200052	200056
200056	200052	200056	200056	234300	200056
200056	200056	200052	200060	200152	200052
200056	200048	200056	200056	200056	200056
200052	200052	200052	200056	200056	200052
200056	200052	200056	200052	200056	226876
200056	200048	224216	200056	200056	200156
200056	200052	200116	200056	200048	200056
200052	200052	200056	200056	200056	200052
226392	200048	200052	226628	229940	200052
200140	226456	200056	200076	200080	200052
200052	200124	200052	200056	200056	200052
200056	200056	200052	200056	200056	200052
200056	200056	200052	200056	200056	200060
200056	200052	200056	200052	200052	200056
200052	200056	200052	200056	200056	200056
200056	200056	200052	200056	200056	200052
200056	200056	200056	200056	200056	226416
200056	200052	224224	200052	200052	200148
200052	200056	200124	200056	200052	200052
200056	200056	200056	200056	226220	200052
226240	200052	200056	225548	200080	200056
200136	226316	200052	207848	200056	200052
200056	200128	200056	200064	200052	200056
200052	200056	200056	200056	200056	200052
200056	200056	200056	200056	200056	200056
200056	200052	200052	200056	200056	200056
200056	200052	200056	200056	200052	200056
200052	200052	200052	200060	200056	200064
200056	200048	200052	200056	200056	226152
200056	200052	224200	200056	200052	200160
200056	200052	200120	200060	200056	200052
200052	200048	200060	200056	226268	200056
226292	225336	200056	227068	200076	200056
200140	200128	200052	200084	200048	200056
200052	207840	200056	200056	200056	200052
200056	200112	200056	200052	200052	200060
200056	200052	200056	200056	200052	200056
200052	200056	200052	200056	200052	200056
200056	200052	200056	200056	200056	200060
200056	200052	200056	200052	200052	200060
200056	200056	224212	200056	200052	226144
200052	200056	200120	200056	200052	200148
200056	200056	200056	200056	200052	200056
200056	200052	200056	200052	225936	200056
232860	227328	200052	226544	200064	200056
200140	200128	200056	200072	200052	200052
200052	200052	200056	200060	200052	200056
200048	200056	200056	200056	200052	200060
200056	200056	200052	200056	200056	200056
200056	200056	200056	200052	200052	200060
200052	200052	200056	200056	200052	200060
200056	200056	200056	200056	200052	226376
200056	200056	224192	200056	200052	200160
200056	200056	200124	200052	200052	200052
200052	200052	200056	200056	200056	200052
227260	200056	200056	200056	226072	200052
200136	226592	200052	226280	200076	200056
200056	200116	200056	200084	200052	200056
200052	200056	200056	200056	200056	200056
200048	200052	200056	200056	200052	200056
200060	200056	200052	200064	200052	200060
200056	200056	200056	200056	200056	200056
200052	200056	200056	200056	200052	200056
200056	200052	200056	200060	200052	226060
200056	200056	224264	200056	200052	200148
200056	200056	200120	200056	200052	200056
200052	200056	200060	200064	200056	200052
226896	200052	200056	200056	226080	200052
200136	226412	200052	226304	200076	200052
200056	200116	200056	200084	200052	200052
200056	200056	200056	200056	200056	200052
200044	200056	200056	200056	200052	200056
200056	200052	200052	200060	200052	200056
200056	200056	200056	200056	200056	200056
200052	200056	200056	200060	200052	200052
200056	200056	200056	200060	200052	226420
200056	200052	223024	200056	200052	200156
200056	200056	200120	200056	200052	200052
200052	200056	200056	200060	200056	200052
226500	200056	243828	226544	225772	200056
200136	226316	208864	200084	200064	200052
200056	200128	200100	200052	200056	200052
200056	200052	235452	200056	200048	200052
200052	200056	200164	200056	200060	200056
200056	200056	200056	200056	200052	200056
200056	200056	200052	200060	200052	200056
200056	200052	200052	200056	200052	200052
200052	200056	232208	200060	200052	225004
200056	200056	200136	200060	200056	200148
200056	200056	200056	200056	200052	200056
200056	200052	200052	200056	225688	200052
226356	200056	200056	226700	200064	200052
200140	226328	200052	200076	200052	211256
200052	200128	200052	200056	200052	200136
200056	200052	200052	200060	200052	200056
200056	200056	200052	200056	200056	200052
200056	200056	200052	200060	200052	200056
200052	200052	200056	200060	200056	200056
200056	200056	200052	200056	200052	200056
200056	200056	224936	200056	200052	227640
200056	200056	200128	200060	200056	200164
200052	200052	200052	200056	200052	200056
200056	200056	200052	200060	226124	200056
226324	226420	200052	226244	200076	200056
200136	200128	200056	200072	200052	200056
200056	200056	200056	200056	200056	200052
200056	200056	200056	200052	200048	200056
200052	200052	200052	200056	200060	200056
200056	200056	200056	200056	200052	200056
200056	200056	200056	200056	200060	200052
200056	200056	200056	200052	200052	226496
200052	200052	225020	200056	200052	200152
200056	200056	200128	200056	200060	200056
200056	200056	200052	200056	200056	200052
226440	200168	200052	200052	225272	200056
200140	226808	200056	226376	200076	200056
200052	200116	200052	200080	200056	200056
200068	200056	200052	200060	200052	200052
200048	200052	200052	200056	208456	200056
200056	200056	200052	200056	200060	200056
200052	200056	200052	200060	200052	200056
200056	200056	200056	200056	200052	200048
200056	200052	200052	200056	200056	226692
200056	200056	224468	200060	200056	200164
200052	200056	200116	200060	200052	200060
200056	200056	200052	200056	200056	200052
226364	200052	200052	200056	226524	200056
200140	226408	200056	226596	200088	200056
200056	200128	200052	200084	200052	200056
200052	200052	200052	200060	200052	200052
200056	200052	200052	200056	200056	200056
200056	200052	200056	200056	200056	200056
200056	200056	200052	200060	200052	200056
200052	200052	200052	200056	200056	200052
200056	200056	200052	200060	200056	226188
200056	200056	224724	200060	200056	200152
200056	200056	200128	200056	200052	200056
200052	200052	200052	200056	200052	200052
226420	200056	200052	200060	225804	200056
200140	226408	200052	225168	200064	200056
200052	200128	200052	207792	200276	200056
200056	200052	200056	200068	200052	200052
200056	200056	200052	200056	200056	200056
200052	200056	200052	200060	200052	200056
200056	200056	200052	200056	200052	200056
200056	200052	200056	200056	200052	200052
200056	200056	200052	200064	200052	226600
200052	200056	224676	200056	200056	200164
200056	200056	200128	200056	200048	200056
200056	200052	200056	200060	200060	200060
226396	200056	200052	226960	225784	200056
200140	225556	200056	200080	200064	200056
200052	208000	200056	200060	200052	200060
200056	200112	200056	200056	200056	200056
200056	200052	200048	200056	200056	200056
200052	200052	200056	200060	200056	200056
200184	200056	200052	200060	200052	200060
200052	200056	200052	200056	200056	200056
200056	200056	224676	200056	200056	226136
200056	200052	200124	200060	200052	200152
200056	200056	200052	200056	200052	200060
200052	200056	200052	200060	225756	200056
232976	200056	200056	226732	200076	200056
200136	226860	200052	200080	200052	200060
200056	200128	200052	200060	200056	200056
200052	200052	200052	200056	200052	200056
200056	200056	200052	200056	200056	200056
200052	200052	200052	200064	200056	200060
200056	200056	200056	200068	200056	200056
200056	200052	200052	200056	200052	200056
200056	200056	224640	200060	200056	226160
200052	200056	200124	200056	200060	200168
200056	200056	200052	200060	200056	200056
200056	200052	200052	200052	225672	200052
227128	226552	200056	226356	200064	200056
200136	200128	200052	200068	200052	200056
200056	200056	200052	200060	200052	200056
200052	200056	200052	200056	200052	200052
200056	200052	200056	200056	200056	200056
200056	200056	200052	200064	200052	200056
200052	200056	200052	200056	200056	200056
200056	200056	200052	200056	200052	226032
200056	200052	224728	200060	200052	200140
200056	200056	200128	200056	200052	200052
200052	200056	200056	200056	200064	200052
226556	200056	200052	200052	226132	200056
200136	226384	200052	226164	200092	200052
200056	200132	200052	200076	200052	200056
200052	200052	200052	200056	200056	200052
200052	200056	200056	200060	200052	200056
200056	200056	200052	200056	200052	200052
200056	200056	200052	200060	200056	200056
200056	200052	200052	200060	200048	200052
200052	200056	200052	200056	200060	226608
200056	200056	223576	200056	200052	200160
200056	200056	200128	200060	200052	200056
200056	200052	200052	200056	200056	200052
226748	200056	200052	200056	225848	200052
200140	226556	208848	226672	200068	200056
200052	200128	200104	200072	200052	200048
200052	200052	200052	200068	200056	200064
200056	200052	200052	200056	200056	200052
200056	200056	200052	200056	200056	200056
200056	200052	200052	200056	200052	200056
200052	200056	200052	200064	200056	200056
200056	200056	200056	200056	200056	224948
200056	200056	225396	200056	200052	200148
200056	200052	200112	200060	200052	200056
200052	200056	200056	200056	200056	200064
226728	200056	200052	200056	225692	200052
200140	226320	200052	226316	200064	1371164
200052	200128	200052	200068	200052	241688
200052	200056	200056	200060	200052	200120
200056	200056	200056	200056	200052	200056
200052	200052	200056	200056	200056	200056
200056	200056	200056	200060	200052	200056
200052	200056	200056	200056	200052	200056
200056	200056	200052	200056	200056	200052
200056	200052	224324	200056	200048	200056
200056	200056	200116	200064	200056	200056
200052	200056	200056	200056	200060	200056
226744	200052	200052	226288	225732	200052
200140	226340	200052	200084	200072	200056
200052	200132	200056	200052	200052	227696
200052	200064	200052	200056	200052	200108
200056	200052	200052	200056	200052	200056
200052	200056	200056	200056	200052	200056
200056	200056	200048	200060	200056	200056
200056	200052	200060	200056	200052	200052
200056	200056	224160	200060	200052	200056
200052	200056	200120	200060	200056	200056
200056	200056	200052	200056	200048	200056
200056	200052	200052	200056	224892	200052
226600	200056	200052	226592	200076	200056
200136	226372	200056	200072	200060	200056
200056	200128	200052	200060	200052	226324
200052	200056	200056	200056	200052	200120
200052	200056	200052	200060	207992	200056
200056	200052	200052	200056	200072	200052
200056	200056	200056	200056	200052	200056
200052	200056	200052	200064	200056	200056
200056	200056	224192	200056	200052	200056
200056	200052	200116	200056	200052	200052
200056	200056	200052	200060	200052	200056
200056	200056	200052	200056	226400	200056
226780	226360	200056	226732	200076	200056
200136	200124	200052	200080	200056	200052
200056	200048	200052	200056	200052	226596
200052	200056	200052	200056	200052	200112
200052	200056	200052	200056	200052	200060
200052	200052	200052	200056	200056	200056
200056	200056	200056	200052	200052	200056
200056	200056	200052	200056	200052	200052
200056	200056	224140	200056	200052	200056
200052	200052	200116	200056	200052	200056
200056	200056	200056	200052	200052	200056
226716	200056	200052	200056	327072	200052
200140	226320	200052	225064	200908	200056
200052	200124	200056	235660	200060	226164
200052	200056	200048	230248	200056	200112
200064	200052	200060	200088	200056	200056
200056	200056	200052	200052	200052	200052
200052	200056	200052	200052	200056	200056
200056	200056	200052	200052	200056	200056
200056	200060	200052	200052	200056	200056
200056	200052	224116	200056	200048	200052
200052	200056	200120	224320	200056	200056
200056	200056	200056	200100	227052	200052
226676	200052	200052	261592	200112	200056
200140	225416	200056	200212	200052	200056
200052	207816	200048	200056	200052	226188
200056	200112	200060	200056	200052	200116
200056	200056	200052	200056	200056	200060
200052	200056	200052	200056	200052	200056
200056	200052	200052	200052	200052	200052
200056	200056	200052	200056	200052	200056
200056	200056	200056	200056	200052	200056
200052	200056	224092	200056	200052	200056
200056	200052	200120	200048	200056	200052
200056	200056	200056	200056	226040	200056
232872	200056	200052	227332	200116	200056
200136	226836	200052	200144	200056	200056
200056	200128	200052	229940	200052	226064
200052	200056	200052	200096	200056	200104
200052	200052	200064	200052	200056	200060
200056	200056	200056	200052	235464	200056
200056	200052	200052	200052	200196	200052
200056	200056	200056	257432	200056	200056
200052	200056	200052	221640	200052	200056
200056	200056	224152	200104	200056	200056
200056	200052	200116	200052	200056	200052
200056	200056	200056	232452	229744	200056
227188	200056	200056	200128	200120	200056
200136	226548	200056	200052	200056	200056
200056	200124	200052	200052	200056	226472
200056	200052	200056	225960	200056	200116
200052	200056	200052	223504	200052	200056
200056	200052	200052	200076	200056	200056
200056	200056	200056	200052	200056	200052
200056	200056	200052	200052	200056	200056
200052	200056	224076	200056	200052	200056
200056	200052	200116	200052	200056	200056
200056	200056	200056	200052	200056	200052
200056	200056	200052	230640	226520	200056
226932	226348	200052	200128	200116	200056
200136	200128	200056	200060	200052	200056
200056	200048	200052	200052	200052	226172
200056	200052	200052	200052	200056	200108
200052	200048	200052	200052	200052	200056
200056	200056	200052	200056	200052	200056
200056	200052	200056	200052	200052	200052
200052	200056	200052	227136	200052	200056
200052	200056	223116	200096	200056	200056
200056	200052	200116	200056	200056	200056
200056	200056	200060	229936	200052	200052
200052	200056	200052	246896	268036	200056
226876	226336	212416	221848	200284	200056
200136	200124	200564	200104	200052	200056
200056	200052	200052	200056	200052	225240
200056	200052	200052	200052	200052	200116
200056	200052	200056	200056	200052	200064
200052	200056	200052	200056	200056	200060
200056	200056	200052	200056	200052	200056
200056	200056	200052	200052	200052	211808
200052	200052	225972	200056	200052	200100
200056	200056	200168	221776	200056	200056
200056	200056	200052	231936	227088	200056
226392	200056	200052	226524	200116	200056
200136	226376	200052	200088	200052	200052
200056	200128	200052	200056	200052	227460
200052	200056	200056	200056	200056	200120
200056	200056	200052	200052	200052	200056
200056	200048	200052	200056	200052	200052
200052	200056	200052	200056	200052	200056
200056	200052	200052	200056	200056	200056
200052	200056	200052	200052	200052	200056
200056	200056	224472	200056	200052	200052
200056	200056	200148	230036	200052	200056
200056	200052	200056	200128	225660	200056
226744	200056	200056	200052	200100	200056
200140	226532	200056	200056	200052	200052
200056	200128	200056	226276	200052	226852
200056	200056	200052	200096	200056	200152
200052	200052	200056	200060	200052	200052
200056	200052	200056	200056	200052	200052
200056	200052	200056	200052	224508	200052
200052	200056	200052	242808	200188	200056
200056	200056	200052	221732	200052	200052
200056	200056	224224	200088	200052	200052
200056	200052	200148	231684	200056	200056
200052	200052	200052	200124	228124	200056
226684	200052	200056	200056	200100	200056
200136	226296	200052	200052	200052	200056
200056	200128	200052	200052	200052	226320
200052	200056	200052	200052	210296	200104
200052	200052	200052	200056	200100	200060
200056	200052	200052	225896	200052	200056
200052	200056	200056	223232	200056	200060
200056	200056	200052	200088	200052	200056
200056	200052	200052	200056	200052	200056
200056	200056	224244	229956	200052	200056
200052	200056	200144	200128	226572	200060
200056	200048	200056	200056	200116	200056
226692	200052	200056	200056	200056	200056
200136	226372	200052	200056	200052	200056
200056	200124	200056	200052	200052	226804
200052	200052	200056	200056	200052	200116
200056	200048	200056	200056	200060	200056
200056	200052	200052	200056	200052	200056
200052	200052	200056	200052	200056	200060
200056	200056	200056	226400	200056	200056
200052	200056	224116	200100	200056	200056
200056	200048	200148	228644	200048	200056
200052	200052	200052	227404	225532	200060
200056	200048	200096	200068	200108	200052
226468	226352	200056	200056	200056	200060
200136	200124	200052	246224	232708	200056
200052	200048	200056	221532	200192	226268
200056	200052	200056	200104	200056	200104
200056	200048	200056	200048	200052	200056
200056	200052	200052	200056	200056	200060
200052	200052	200056	200052	200056	200056
200056	200052	200056	200056	200056	200056
200056	200052	224252	232016	200052	200060
200052	200052	200144	225820	200056	200056
200052	200052	200056	200100	230508	200056
200056	200056	200056	223380	200112	200056
226860	225260	200056	200088	200056	200056
200136	208540	200052	200052	200056	200056
200056	200100	200052	200052	200052	226632
200056	200052	200052	200056	200056	200116
200052	200056	200052	200052	200056	200056
200052	200052	200056	200052	200056	200056
200056	200052	200052	200052	200052	200056
200056	200052	200056	200052	200056	200052
200052	200048	224128	230284	200052	200056
200056	200052	200144	200124	200056	200056
200056	200048	200056	200052	225888	200056
225580	200052	200052	200056	200124	200052
208128	226876	200052	200056	200056	200056
200120	200128	200052	226748	200056	226240
200052	200052	200052	200100	200052	200104
200056	200052	200052	200056	200056	200056
200052	200052	200056	200056	200056	200060
200056	200048	200052	200052	200056	200060
200056	200052	200052	241776	200052	200056
200056	200048	200056	252488	246080	200056
200052	200052	224224	200164	200232	200060
200056	200052	200148	200060	232820	200056
200056	200048	200052	200052	200128	200060
227248	200052	200052	200056	200056	200060
200136	226784	200052	200056	200052	200056
200056	200128	200052	200056	200056	226640
200052	200052	200056	225932	200056	200116
200052	200048	200052	222992	200056	200056
200056	200052	200052	200084	200052	200060
200056	200052	200052	200056	200056	200060
200052	200048	200052	200056	200056	200056
200056	200052	200056	230108	200056	200052
200056	200052	224172	200116	200052	200056
200056	200048	200144	200052	225764	200052
200052	200052	200056	200052	200120	200056
226648	200052	200052	200052	200056	200056
200140	226340	200052	200056	200056	200056
200052	200128	200052	200052	200056	226152
200052	200048	200056	200052	200052	200108
200052	200056	200052	200052	200056	200056
200056	200052	200056	200056	200056	200056
200052	200056	200056	200052	200056	200056
200056	200052	200056	226432	200052	200056
200056	200052	200052	229812	200056	200052
200056	200056	223696	200116	200052	200056
200052	200056	200148	200052	225708	200068
200056	200052	200056	200052	200116	200052
226960	200056	200056	200056	200056	200056
200140	226488	208128	245948	200056	200056
200056	200128	200140	221516	225048	225384
200052	200056	209428	200096	200192	200112
200056	200048	200140	200052	200056	200056
200052	200052	200056	200056	200056	200056
200056	200048	200056	200052	200052	200064
200056	200052	200056	230904	200056	1800480
200056	200052	228060	200132	200056	200352
200052	200048	200172	225856	200056	200056
200060	200052	200056	200100	229208	200052
200056	200052	200056	222944	200104	200056
226756	226308	200056	200096	200056	200056
200140	200128	200056	200056	200056	200056
200052	200052	200052	200056	200056	200052
200056	200048	200056	200056	200052	200056
200056	200052	200056	200052	200056	200056
200056	200052	200056	200056	200056	200056
200052	200048	200052	200052	200056	227904
200056	200052	200056	230108	200052	200104
200056	200052	224764	200132	200056	200056
200056	200048	200148	200056	200056	200056
200052	200052	200056	200060	225524	200056
200056	200048	200056	200056	200120	200056
226712	226308	200052	200052	200056	200052
200136	200128	200056	226396	200056	200056
200056	200048	200056	200100	200060	200056
200056	200052	200056	200056	200056	200056
200056	200048	200052	200056	200056	200052
200052	200052	200056	200052	200060	226164
200056	200052	200056	274084	200056	200116
200056	200048	200056	225012	200056	200056
200056	200052	230132	200104	232856	200056
200052	200052	200152	200056	229904	200056
200056	200048	200056	200056	200112	200052
226500	200052	200056	200052	200052	200056
200136	226348	200056	200056	200052	200056
200056	200128	200052	200056	209672	200056
200052	200052	200056	222388	200096	200052
200056	200048	200056	200104	200052	200056
200052	200052	200056	222796	200052	200048
200056	200056	200052	200092	200056	226524
200056	200052	200056	230092	200052	200112
200052	200056	200056	200128	200052	200052
200056	200052	251944	200060	200052	200052
200056	200056	200212	200056	226360	200056
200056	200056	200056	200056	200112	200056
226660	200056	200056	200052	200060	200056
200140	226512	200056	200056	200052	200052
200052	200132	200056	200056	200056	200056
200052	200052	200052	200056	200056	200056
